epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
43,34048.7,1.25176,2.07987,0.90109,1.0191,0,0.47885,0.36864,0.37127,0.20007,0.45735,0.32464,0.32225,0.1411,1.25628,2.01986,5.90209,0.87936,0,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,34773.7,1.25348,2.07678,0.89806,1.0176,0,0.4813,0.37298,0.37252,0.20044,0.45092,0.32966,0.32375,0.14126,1.25521,2.01931,5.97361,0.87843,0,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,35497.6,1.24442,2.07254,0.89317,1.0171,0,0.49591,0.36706,0.37224,0.20086,0.45801,0.33274,0.32451,0.14132,1.25393,2.01966,5.78804,0.87861,0,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,36222.7,1.24262,2.05665,0.8885,1.01557,0,0.50233,0.36199,0.37077,0.20064,0.46252,0.32634,0.32277,0.14084,1.2534,2.01871,5.78648,0.87872,0,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,36947.6,1.23579,2.0482,0.88118,1.01221,0,0.49604,0.36342,0.36938,0.20043,0.46412,0.32659,0.32353,0.14129,1.25242,2.01685,5.77239,0.87871,0,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,37673.9,1.23301,2.04635,0.87599,1.00975,0,0.48642,0.36608,0.36888,0.19961,0.45369,0.33007,0.32289,0.14136,1.25237,2.01543,5.73635,0.87884,0,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,38399,1.22839,2.03675,0.87314,1.00839,0,0.4822,0.3696,0.36848,0.19962,0.44981,0.32981,0.32188,0.1409,1.25214,2.0132,5.81734,0.87895,0,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,39124.9,1.22904,2.03271,0.87114,1.00911,0,0.4835,0.36969,0.36818,0.19936,0.45157,0.33114,0.32142,0.14115,1.2516,2.01341,5.8474,0.8794,0,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,39850.8,1.22393,2.03121,0.86749,1.00633,0,0.48684,0.36924,0.36707,0.19959,0.45111,0.33307,0.32231,0.14141,1.25154,2.01267,5.73575,0.87986,0,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,40574.6,1.21887,2.02172,0.86195,1.0071,0,0.48337,0.36953,0.36697,0.20001,0.45333,0.33513,0.3225,0.1417,1.25041,2.01328,5.58843,0.879,0,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,41298.5,1.21882,2.01432,0.85855,1.00347,0,0.48324,0.3678,0.3677,0.20057,0.45943,0.32999,0.32336,0.14196,1.25033,2.01385,5.532,0.87898,0,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
